Date,Open,High,Low,Close
11-Jul-16,96.75,97.65,96.73,96.98
12-Jul-16,97.17,97.7,97.12,97.42
13-Jul-16,97.41,97.67,96.84,96.87
14-Jul-16,97.39,98.99,97.32,98.79
15-Jul-16,98.92,99.3,98.5,98.78
18-Jul-16,98.7,100.13,98.6,99.83
19-Jul-16,99.56,100,99.34,99.87
20-Jul-16,100,100.46,99.74,99.96
21-Jul-16,99.83,101,99.13,99.43
22-Jul-16,99.26,99.3,98.31,98.66
25-Jul-16,98.25,98.84,96.92,97.34
26-Jul-16,96.82,97.97,96.42,96.67
27-Jul-16,104.26,104.35,102.75,102.95
28-Jul-16,102.83,104.45,102.82,104.34
29-Jul-16,104.19,104.55,103.68,104.21
01-Aug-16,104.41,106.15,104.41,106.05
02-Aug-16,106.05,106.07,104,104.48
03-Aug-16,104.81,105.84,104.77,105.79
04-Aug-16,105.58,106,105.28,105.87
